rsid,cases_AA,cases_AB,cases_BB,controls_AA,controls_AB,controls_BB
rs380390        ,50,35,11,6,25,19
rs1329428        ,2,24,68,5,29,14
rs1447295       ,25,283,864,10,218,929
rs6983267      ,223,598,351,301,579,277
rs7837688       ,27,283,861,11,206,939
rs10510126      ,10,180,955,14,272,854
rs12505080      ,50,477,608,99,408,628
rs17157903      ,18,316,777,26,220,862
rs1219648      ,250,543,352,170,538,433
rs7696175      ,187,605,353,249,496,396
rs2420946      ,242,546,357,165,537,440
rs2820037       ,40,587,1325,72,684,2180
rs6997709      ,118,716,1116,237,1201,1500
rs7961152      ,416,963,570,492,1448,992
rs11110912      ,67,647,1237,83,804,2049
rs1937506      ,113,742,1097,244,1205,1484
rs2398162      ,111,624,1205,194,1121,1608
